model,provider,prompt_type,temperature,prefix,run_used,n_runs_available,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_macro,f1_micro,f1_weighted,subset_acc,hamming_loss,consistency_all_runs
haiku_4_5,Anthropic,default,0.0,haiku_4_5__default__t0,haiku_4_5__default__t0__r1,3,0.8942598187311178,0.8059149722735675,0.7466666666666667,0.7272727272727273,0.7012987012987013,0.3018867924528302,0.5882352941176471,0.32653061224489793,0.35294117647058826,0.6050007512809716,0.7719442165709598,0.800984433742867,0.615,0.06177777777777778,0.984
sonnet_4_5,Anthropic,default,0.0,sonnet_4_5__default__t0,sonnet_4_5__default__t0__r1,3,0.9148264984227129,0.7759562841530054,0.8217821782178217,0.7446808510638298,0.5370370370370371,0.40963855421686746,0.6666666666666666,0.41509433962264153,0.43902439024390244,0.6360785332938317,0.793058568329718,0.8131351404771356,0.695,0.053,0.98
mistral_large_2512,Mistral,default,0.0,mistral_large_2512__default__t0,mistral_large_2512__default__t0__run1,3,0.9048128342245989,0.7821229050279329,0.7610619469026548,0.7176470588235294,0.7246376811594203,0.4155844155844156,0.5789473684210527,0.35714285714285715,0.24,0.6091063408096069,0.7702645947081058,0.8021410365366779,0.66,0.06077777777777778,0.92
gpt_5_2,OpenAI,default,0.0,gpt_5_2__default__t0,gpt_5_2__default__t0__run1,3,0.9397849462365592,0.827037773359841,0.7699115044247787,0.7483870967741936,0.78125,0.509090909090909,0.7272727272727273,0.4057971014492754,0.375,0.6759480065120316,0.8271827182718272,0.8410118980512401,0.768,0.042666666666666665,0.979
gpt_5_mini,OpenAI,default,1.0,gpt_5_mini__default__t10,gpt_5_mini__default__t10__run1,3,0.9382448537378115,0.8441814595660749,0.7945205479452054,0.7440273037542662,0.75,0.5490196078431373,0.7272727272727273,0.2777777777777778,0.3783783783783784,0.6670469618083754,0.836480884385076,0.8433122912151707,0.792,0.03944444444444444,0.901
gpt_5_nano,OpenAI,default,1.0,gpt_5_nano__default__t10,gpt_5_nano__default__t10__run1,3,0.9277238403451996,0.8333333333333334,0.8316831683168316,0.7203065134099617,0.6779661016949152,0.5882352941176471,0.6666666666666666,0.5333333333333333,0.3,0.6754720279130987,0.8361204013377926,0.8375757844773165,0.802,0.03811111111111111,0.829
opus_4_6,Anthropic,default,0.0,opus_4__default__t0,opus_4__default__t0__r1,3,0.8888888888888888,0.8007448789571695,0.7733333333333333,0.7508532423208191,0.7297297297297297,0.47761194029850745,0.65,0.463768115942029,0.43243243243243246,0.6630402846558787,0.7993138936535163,0.8111931853837919,0.681,0.052,0.966
