model,provider,prompt_type,temperature,prefix,run_used,n_runs_available,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_macro,f1_weighted,consistency_all_runs,mean_cohen_kappa,fleiss_kappa
haiku_4_5,Anthropic,default,0.0,haiku_4_5__default__t0,haiku_4_5__default__t0__r1,3,0.8104956268221575,0.5838509316770186,0.5869565217391305,0.5278810408921933,0.43478260869565216,0.7951482479784366,0.2962962962962963,0.5764873248715551,0.7421904529194745,0.993,0.9936558911184797,0.9936559552001681
sonnet_4_5,Anthropic,default,0.0,sonnet_4_5__default__t0,sonnet_4_5__default__t0__r1,3,0.8078078078078078,0.48598130841121495,0.5686274509803921,0.5853658536585366,0.56,0.8197115384615384,0.45454545454545453,0.6117199162664206,0.7512155089889022,0.991,0.991347276194062,0.9913479397201347
mistral_large_2512,Mistral,default,0.0,mistral_large_2512__default__t0,mistral_large_2512__default__t0__run1,3,0.6816608996539792,0.5411764705882353,0.4536082474226804,0.5344129554655871,0.35714285714285715,0.7553444180522565,0.2631578947368421,0.5123576775803482,0.6671166998108229,0.967,0.9693796086936715,0.9693835327939474
gpt_5_2,OpenAI,default,0.0,gpt_5_2__default__t0,gpt_5_2__default__t0__run1,3,0.8453333333333334,0.5172413793103449,0.75,0.717391304347826,0.5,0.9122807017543859,0.25,0.6417495312494129,0.8219083656592756,0.97,0.970474951109724,0.9704751532011495
gpt_5_mini,OpenAI,default,1.0,gpt_5_mini__default__t10,gpt_5_mini__default__t10__run1,3,0.8253094910591472,0.559322033898305,0.6981132075471698,0.3508771929824561,0.3333333333333333,0.5382059800664452,0.3333333333333333,0.5197849388885987,0.6346744808662597,0.817,0.8301725773392713,0.8301694183117981
gpt_5_nano,OpenAI,default,1.0,gpt_5_nano__default__t10,gpt_5_nano__default__t10__run1,3,0.7845934379457917,0.45871559633027525,0.7619047619047619,0.29338842975206614,0.26666666666666666,0.30038022813688214,0.4,0.46652130296234906,0.5164673418730609,0.879,0.877655725110842,
opus_4_6,Anthropic,default,0.0,opus_4__default__t0,opus_4__default__t0__r1,3,0.8425531914893617,0.5901639344262295,0.6407766990291263,0.6859903381642513,0.48,0.8905289052890529,0.32,0.6357161526282888,0.8089749069140433,0.997,0.9971190979319444,0.9971191371239514
