raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
840B-300d_real_500__SVM_pred,,SVM,ML,,,,,real,500.0,840B-300d,0.8305439330543933,0.7664092664092664,0.906392694063927,0.838,,,
840B-300d_real_500__XGBoost_pred,,XGBoost,ML,,,,,real,500.0,840B-300d,0.8317256162915327,0.7838383838383839,0.8858447488584474,0.843,,,
840B-300d_real_1000__RandomForest_pred,,RandomForest,ML,,,,,real,1000.0,840B-300d,0.8392484342379958,0.7730769230769231,0.9178082191780822,0.846,,,
840B-300d_real_1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,1000.0,840B-300d,0.8510182207931404,0.802020202020202,0.906392694063927,0.861,,,
840B-300d_real_1000__KNeighbors_pred,,KNeighbors,ML,,,,,real,1000.0,840B-300d,0.8070907194994786,0.7428023032629558,0.8835616438356164,0.815,,,
840B-300d_real_1000__SVM_pred,,SVM,ML,,,,,real,1000.0,840B-300d,0.8462354188759279,0.7900990099009901,0.910958904109589,0.855,,,
840B-300d_real_1000__XGBoost_pred,,XGBoost,ML,,,,,real,1000.0,840B-300d,0.8598930481283422,0.8088531187122736,0.9178082191780822,0.869,,,
840B-300d_real_2000__RandomForest_pred,,RandomForest,ML,,,,,real,2000.0,840B-300d,0.8297655453618756,0.7495395948434622,0.9292237442922374,0.833,,,
840B-300d_real_2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,2000.0,840B-300d,0.8546824542518837,0.8085539714867617,0.906392694063927,0.865,,,
840B-300d_real_2000__KNeighbors_pred,,KNeighbors,ML,,,,,real,2000.0,840B-300d,0.8012170385395537,0.7208029197080292,0.9018264840182648,0.804,,,
840B-300d_real_2000__SVM_pred,,SVM,ML,,,,,real,2000.0,840B-300d,0.851380042462845,0.7956349206349206,0.9155251141552512,0.86,,,
840B-300d_real_2000__XGBoost_pred,,XGBoost,ML,,,,,real,2000.0,840B-300d,0.8556263269639066,0.7996031746031746,0.9200913242009132,0.864,,,
TextCNN42B__equal__100_pred,,TextCNN42B,CNN,,,,,equal,100.0,,0.3783783783783784,0.7272727272727273,0.2557077625570776,0.632,,,
TextCNN42B__equal__1000_pred,,TextCNN42B,CNN,,,,,equal,1000.0,,0.7307206068268015,0.8186968838526912,0.6598173515981736,0.787,,,
TextCNN42B__equal__2000_pred,,TextCNN42B,CNN,,,,,equal,2000.0,,0.7980997624703088,0.8316831683168316,0.7671232876712328,0.83,,,
